season,onset_time,peak_time,peak_intensity,lower_growth_rate_onset,growth_rate_onset,upper_growth_rate_onset,onset_week,peak_week,weeks_to_peak,grupo,mode
2010/2011,2010-08-15,2010-08-22,200826,0.04125525660806643,0.18990544092535894,0.34219572963111644,32,33,1,total,cases
2011/2012,2011-03-13,2011-05-22,129099,0.08491635405568716,0.18710108783233367,0.29097214399009663,10,20,10,total,cases
2012/2013,2012-03-11,2012-06-17,157105,0.015708174472577833,0.11021305327825213,0.2055750458003904,10,24,14,total,cases
2013/2014,2013-03-10,2013-05-19,146926,0.0028542837776746157,0.14596038482382587,0.2916707009609223,10,20,10,total,cases
2014/2015,2014-03-16,2014-06-22,169877,0.11042278189443401,0.19537526337132619,0.2815402083177859,11,25,14,total,cases
2015/2016,2015-02-15,2015-08-16,171096,0.004934293656044451,0.03180337567537264,0.058692470372904995,7,33,26,total,cases
2016/2017,2016-02-28,2016-06-26,162542,0.008559887929015995,0.024772206324109675,0.040990198522116814,8,25,17,total,cases
2017/2018,2017-03-12,2017-06-04,181754,0.06056512431562182,0.20358858092322019,0.3502149819810119,10,22,12,total,cases
2018/2019,2018-02-25,2018-08-12,144924,0.02418841631699651,0.03995441884516365,0.055729068924839836,8,32,24,total,cases
2019/2020,2019-03-10,2019-05-19,165495,0.06685044095408327,0.1831263749182598,0.30154440514845054,10,20,10,total,cases
2020/2021,2020-03-08,2020-03-15,103314,0.07548191482387201,0.17090044594204787,0.267664504820062,10,11,1,total,cases
2022/2023,2022-01-16,2022-10-30,161522,0.038926176706368804,0.0828662574157045,0.1269454854512443,2,43,41,total,cases
2023/2024,2023-02-26,2023-05-14,189297,0.05713536821095206,0.07148916483088276,0.08585575732390964,8,19,11,total,cases
2024/2025,2024-02-18,2024-05-12,203353,0.010882814268112155,0.025022057961138863,0.039165660122970694,7,19,12,total,cases
2025/2026,2025-03-09,2025-05-18,139705,0.0633816894943177,0.18018011936617406,0.29910624392507645,10,20,10,total,cases
2010/2011,2010-05-16,2010-08-22,55002,1.94283522205488e-4,0.06008819022760793,0.12017001341438248,19,33,14,edad_menor_5,cases
2011/2012,2011-03-13,2011-05-22,53631,0.08780309217044766,0.21268054064513442,0.3404161981022107,10,20,10,edad_menor_5,cases
2012/2013,2012-03-18,2012-06-17,54991,0.14892891968324437,0.263942153529055,0.3819253112449627,11,24,13,edad_menor_5,cases
2013/2014,2013-03-17,2013-05-19,48204,0.10872399844118277,0.23012361998896425,0.3544344347164763,11,20,9,edad_menor_5,cases
2014/2015,2014-03-16,2014-06-22,56290,0.13010472603965317,0.22974384027155076,0.3313343313770592,11,25,14,edad_menor_5,cases
2015/2016,2015-03-15,2015-08-16,48295,0.1324277986974776,0.25197082937467047,0.3745884865629132,11,33,22,edad_menor_5,cases
2016/2017,2016-03-13,2016-06-26,52501,0.0915157348949333,0.21727956552818933,0.34600280461990607,10,25,15,edad_menor_5,cases
2017/2018,2017-03-19,2017-06-25,47599,0.20225562158213767,0.3455986756674633,0.4948693034876557,11,25,14,edad_menor_5,cases
2018/2019,2018-03-18,2018-07-01,42915,0.19487053662200957,0.3319340612344704,0.4742194878719101,11,26,15,edad_menor_5,cases
2019/2020,2019-03-17,2019-05-19,43666,0.2669148948051003,0.3800535929513116,0.49717064597338967,11,20,9,edad_menor_5,cases
2022/2023,2022-04-03,2022-05-15,38811,0.04143584611021901,0.14864338332588573,0.25733451965096815,13,19,6,edad_menor_5,cases
2023/2024,2023-03-19,2023-05-14,44762,0.1640832158496955,0.3010089465555865,0.44270619321191007,11,19,8,edad_menor_5,cases
2024/2025,2024-04-21,2024-08-11,27583,0.034329097802714766,0.047280367915495426,0.06023853948352227,16,32,16,edad_menor_5,cases
2025/2026,2025-05-18,2025-08-10,27487,0.0023164502186372986,0.03518569858573687,0.06808808533921258,20,32,12,edad_menor_5,cases
2010/2011,2010-08-15,2010-08-22,60767,0.2430137452327403,0.41347655426561797,0.5937824219487879,32,33,1,edad_5_14,cases
2011/2012,2011-03-13,2011-05-22,28285,0.1599333371062248,0.2676591832202632,0.37802105896135774,10,20,10,edad_5_14,cases
2012/2013,2012-03-11,2012-06-17,36374,0.04771896136801741,0.21150896769455244,0.3802140569525135,10,24,14,edad_5_14,cases
2013/2014,2013-03-17,2013-06-16,32856,0.14422999409557524,0.28126401487675035,0.4227883909799897,11,24,13,edad_5_14,cases
2014/2015,2014-03-16,2014-06-22,39930,0.1960210636307078,0.30285690367627177,0.41259555582507373,11,25,14,edad_5_14,cases
2015/2016,2015-03-08,2015-08-16,45095,0.018396444835590973,0.16960811088654207,0.3241930181195933,10,33,23,edad_5_14,cases
2016/2017,2016-03-13,2016-06-26,36269,0.15069075623764422,0.30997104026249445,0.4759126861381153,10,25,15,edad_5_14,cases
2017/2018,2017-03-12,2017-06-04,44247,0.11883089698712679,0.32960374931477143,0.5528362348158107,10,22,12,edad_5_14,cases
2018/2019,2018-03-04,2018-08-12,32076,0.04619784084430417,0.13222036448353483,0.21909252116682099,9,32,23,edad_5_14,cases
2019/2020,2019-03-10,2019-06-02,39715,0.08984008970503157,0.3170723831613285,0.558322567124947,10,22,12,edad_5_14,cases
2020/2021,2020-03-08,2020-03-08,17474,0.09037187646688148,0.3005534239553887,0.5221149827386472,10,10,0,edad_5_14,cases
2022/2023,2022-03-13,2022-10-23,51525,0.15431328992596868,0.39066203793919413,0.6453375780355775,10,42,32,edad_5_14,cases
2023/2024,2023-03-05,2023-05-14,59326,0.10035482676916035,0.28641513476210695,0.4809675363096298,9,19,10,edad_5_14,cases
2024/2025,2024-03-10,2024-05-12,53727,0.15051952675157848,0.4008642186568453,0.6723022833563019,10,19,9,edad_5_14,cases
2025/2026,2025-03-09,2025-03-16,36563,0.17021871987624537,0.42899933289179226,0.7117117763341171,10,11,1,edad_5_14,cases
2010/2011,2010-08-15,2010-09-19,81762,0.0049135108993609445,0.1512181820443255,0.3003422385054816,32,37,5,edad_15_64,cases
2011/2012,2011-03-13,2011-08-14,47903,0.059537641898117756,0.13951199002606574,0.2202600934100231,10,32,22,edad_15_64,cases
2012/2013,2012-03-11,2012-06-17,57059,0.010093058065528016,0.058867722067538784,0.10776441683886104,10,24,14,edad_15_64,cases
2013/2014,2013-03-10,2013-06-16,61102,0.014413281624340081,0.11801454206295844,0.2227187704159752,10,24,14,edad_15_64,cases
2014/2015,2014-03-16,2014-06-22,63526,0.06199457017042958,0.13915095887582565,0.21702550963355755,11,25,14,edad_15_64,cases
2015/2016,2015-02-22,2015-08-23,67618,0.06046080571519695,0.07626785305824384,0.09209145034349735,8,34,26,edad_15_64,cases
2016/2017,2016-02-21,2016-07-17,70732,0.004138047964270091,0.03124348962672119,0.05836893988416154,7,28,21,edad_15_64,cases
2017/2018,2017-03-12,2017-06-04,78303,0.033942574116755005,0.12667005232413037,0.22034441883068548,10,22,12,edad_15_64,cases
2018/2019,2018-02-25,2018-08-12,59596,0.03547284288203169,0.05204233454090383,0.06862425923069776,8,32,24,edad_15_64,cases
2019/2020,2019-03-10,2019-06-09,75142,0.05968801389045214,0.11275162277221489,0.16609073735470906,10,23,13,edad_15_64,cases
2020/2021,2020-03-01,2020-03-15,66743,0.04704434796898161,0.07690531090674528,0.10682588608786477,9,11,2,edad_15_64,cases
2022/2023,2022-01-16,2022-10-30,71048,0.09753688176851358,0.14225533640548543,0.18721946615795698,2,43,41,edad_15_64,cases
2023/2024,2023-03-05,2023-05-14,73859,0.10336462668883402,0.11905894978467055,0.13477860849392867,9,19,10,edad_15_64,cases
2024/2025,2024-02-18,2024-05-12,109176,0.022668519381678742,0.03719993178712987,0.05173818446935898,7,19,12,edad_15_64,cases
2025/2026,2025-03-09,2025-05-18,69268,0.048580483353247404,0.1100032935963297,0.17178660887666378,10,20,10,edad_15_64,cases
2010/2011,2010-08-22,2010-09-19,14490,0.043816999398813616,0.1597413114527137,0.2775288521665334,33,37,4,edad_65_mas,cases
2012/2013,2012-05-27,2012-07-15,11259,0.023950461311775164,0.06289590267546266,0.10192440691914607,21,28,7,edad_65_mas,cases
2013/2014,2013-06-23,2013-09-22,9705,0.04747542965630452,0.06711476891568374,0.0867766137047208,25,38,13,edad_65_mas,cases
