season,onset_time,peak_time,peak_intensity,lower_growth_rate_onset,growth_rate_onset,upper_growth_rate_onset,onset_week,peak_week,weeks_to_peak,grupo,mode
2010/2011,2010-08-22,2010-08-22,51416.589432288914,0.060528359940975725,0.13077195849380796,0.20211033360510092,33,33,0,total,incidence
2011/2012,2011-03-13,2011-05-22,39000.244697466325,0.056025136954000125,0.13493305861352703,0.21489472343587263,10,20,10,total,incidence
2012/2013,2012-03-04,2012-07-01,44784.06311784934,0.0036800270875308252,0.014848047821189866,0.026016500038954934,9,26,17,total,incidence
2013/2014,2013-03-17,2013-06-16,41662.007724856616,0.037899724380658,0.13045014792995166,0.2244558717671234,11,24,13,total,incidence
2014/2015,2014-03-16,2014-06-22,45323.618162850944,0.04865119005021019,0.13231906778668548,0.217192919554872,11,25,14,total,incidence
2015/2016,2015-02-15,2015-08-16,42822.603655148596,0.0014085188839003339,0.027366705420432423,0.053343328536324106,7,33,26,total,incidence
2016/2017,2016-03-06,2016-07-10,44310.28032943608,0.01939817452476908,0.05935776696538352,0.09940704019712954,9,27,18,total,incidence
2017/2018,2017-03-12,2017-06-11,45825.66557868039,0.05600912482057756,0.15767509276176986,0.26113418980879,10,23,13,total,incidence
2018/2019,2018-03-04,2018-07-01,39245.26274718253,0.03702674581620228,0.06998114670086648,0.10301397566145244,9,26,17,total,incidence
2019/2020,2019-03-17,2019-06-09,42397.30361455119,0.15221622148529587,0.20586052166398644,0.2602350120050377,11,23,12,total,incidence
2020/2021,2020-03-15,2020-03-15,38042.52968793151,0.16359402496225733,0.26940724296927215,0.3776993771802939,11,11,0,total,incidence
2022/2023,2022-04-24,2022-10-30,36001.06093937712,0.02818347124970283,0.04718220114387172,0.06619526116686739,16,43,27,total,incidence
2023/2024,2023-03-12,2023-05-21,42725.055427137224,0.12762981123484313,0.2041101218768521,0.2820584792531663,10,20,10,total,incidence
2024/2025,2024-03-10,2024-05-12,45558.6821222617,0.0347289200951474,0.1108810602494246,0.18774444597345474,10,19,9,total,incidence
2025/2026,2025-03-16,2025-05-18,34740.04336754993,0.15050130061348008,0.23320671821525826,0.3177803334304962,11,20,9,total,incidence
2010/2011,2010-05-09,2010-08-22,71245.1911244673,0.014542830508115457,0.02993503553839879,0.045334449596994536,18,33,15,edad_menor_5,incidence
2011/2012,2011-03-13,2011-05-22,68102.85714285714,0.04840066579465241,0.11299554360615383,0.1784250017230716,10,20,10,edad_menor_5,incidence
2012/2013,2012-03-11,2012-07-01,73552.313868926,0.031229325317355214,0.08805561521001343,0.1452933072745852,10,26,16,edad_menor_5,incidence
2013/2014,2013-03-17,2013-07-14,68477.66802011999,0.016394781929014966,0.09625099620250144,0.17739150130818265,11,28,17,edad_menor_5,incidence
2014/2015,2014-03-16,2014-06-22,69594.35233609041,0.02218357443549134,0.10212477708625906,0.1833635922876248,11,25,14,edad_menor_5,incidence
2015/2016,2015-03-08,2015-08-09,65407.52535975466,0.030960488480422533,0.06741509256347819,0.10400291417813272,10,32,22,edad_menor_5,incidence
2016/2017,2016-03-13,2016-07-10,66708.84003393716,0.05549514462986366,0.11274169207911441,0.1706214291698547,10,27,17,edad_menor_5,incidence
2017/2018,2017-03-12,2017-06-25,67207.4438043601,0.06895921366715743,0.16160577268772372,0.2564848700051737,10,25,15,edad_menor_5,incidence
2018/2019,2018-03-11,2018-07-01,64292.13483146068,0.08501135696875503,0.15921376385696465,0.2348906552157395,10,26,16,edad_menor_5,incidence
2019/2020,2019-03-17,2019-07-14,63978.998060330414,0.12883817718092822,0.1756837297135072,0.22326639941938659,11,28,17,edad_menor_5,incidence
2020/2021,2020-03-15,2020-03-15,55785.59679610956,0.12994287795636175,0.19476595692312137,0.26037436432274597,11,11,0,edad_menor_5,incidence
2021/2022,2021-09-19,2021-10-10,39867.20154931526,0.006840453580724036,0.027344142655224203,0.04787805649193852,37,40,3,edad_menor_5,incidence
2022/2023,2022-04-03,2022-06-12,59741.266933980165,0.024433549922080015,0.08218012939986495,0.14028365277167446,13,23,10,edad_menor_5,incidence
2023/2024,2023-03-12,2023-06-11,68722.16822260902,0.08909512484733235,0.1541704681000246,0.2204000148838052,10,23,13,edad_menor_5,incidence
2024/2025,2024-03-17,2024-08-04,58200.09852657978,0.12311106454352255,0.19079812784594793,0.25994130394479814,11,31,20,edad_menor_5,incidence
2025/2026,2025-03-23,2025-07-27,58320.01717188581,0.07292955454356168,0.19120918424363806,0.3136046588499003,12,30,18,edad_menor_5,incidence
2010/2011,2010-05-09,2010-08-22,65086.114562358074,0.018608985960501128,0.07135678659543905,0.12429019795950297,18,33,15,edad_5_14,incidence
2011/2012,2011-03-13,2011-08-14,45772.0329968087,0.06750009441252568,0.1202325787932351,0.17364537181121603,10,32,22,edad_5_14,incidence
2012/2013,2012-03-11,2012-07-01,55601.52012984443,0.017187213044378428,0.0921765502213604,0.16824655027739532,10,26,16,edad_5_14,incidence
2013/2014,2013-03-17,2013-06-23,49262.57093836611,0.04483237612030388,0.11125268601379783,0.17872108424659242,11,25,14,edad_5_14,incidence
2014/2015,2014-03-16,2014-06-22,53719.17504136902,0.060915870082971765,0.12662511613985228,0.19348547525963636,11,25,14,edad_5_14,incidence
2015/2016,2015-02-22,2015-08-16,54664.58166654544,0.017654632498618126,0.029460065788794846,0.04126685342004959,8,33,25,edad_5_14,incidence
2016/2017,2016-02-28,2016-07-10,54532.32793197496,6.146199429954525e-4,0.019373612461987728,0.03813294647653782,8,27,19,edad_5_14,incidence
2017/2018,2017-02-12,2017-06-04,55594.3660556107,0.0010034455332795574,0.016198205802545055,0.03138732306977938,6,22,16,edad_5_14,incidence
2018/2019,2018-02-18,2018-07-01,47928.901824229506,0.004235783397290573,0.022785521018864035,0.04134156660099306,7,26,19,edad_5_14,incidence
2019/2020,2019-03-10,2019-05-19,52739.17040722513,0.05863743643539617,0.1575178507619303,0.25919024337775637,10,20,10,edad_5_14,incidence
2020/2021,2020-03-08,2020-03-15,50021.39189960068,0.08278392834334908,0.18487306528258937,0.2896941580262954,10,11,1,edad_5_14,incidence
2021/2022,2022-01-09,2022-01-09,21187.05407920587,0.012592685040416073,0.0517026366208008,0.09098291920841509,1,1,0,edad_5_14,incidence
2022/2023,2022-03-20,2022-10-30,52300.93904539645,0.14811955056640597,0.22191904073514432,0.2976574528600697,11,43,32,edad_5_14,incidence
2023/2024,2023-02-19,2023-05-21,57832.1807853791,0.022771510209921016,0.04785215874240205,0.07296182795568194,7,20,13,edad_5_14,incidence
2024/2025,2024-02-18,2024-05-12,55959.79585459848,0.013641140770353355,0.025979617911065817,0.03831762910040903,7,19,12,edad_5_14,incidence
2025/2026,2025-03-09,2025-05-18,46491.72688312228,0.12510416799474647,0.2349355955403262,0.3492840139672354,10,20,10,edad_5_14,incidence
2010/2011,2010-08-22,2010-09-19,40081.76951585387,0.05604386404813657,0.14558949095936863,0.23672690769628124,33,37,4,edad_15_64,incidence
2011/2012,2011-03-13,2011-07-17,28498.618475095212,0.04281375744283665,0.11963029178630273,0.19717264298248682,10,28,18,edad_15_64,incidence
2012/2013,2012-03-11,2012-07-08,32510.032347424112,0.018455704811013225,0.05736039462349273,0.0963413691171196,10,27,17,edad_15_64,incidence
2013/2014,2013-03-10,2013-06-16,32724.215126554485,0.0035509065392676587,0.10512096378748309,0.20776203329834794,10,24,14,edad_15_64,incidence
2014/2015,2014-03-16,2014-06-22,34104.25726096526,0.03423886180409275,0.11437767659030147,0.19528577553350276,11,25,14,edad_15_64,incidence
2015/2016,2015-03-08,2015-08-16,32837.14850161682,0.04215663135339886,0.05585815059815029,0.06957081317831502,10,33,23,edad_15_64,incidence
2016/2017,2016-03-13,2016-07-10,36464.430677205724,0.049763068704715065,0.10201211854085884,0.1545338299112664,10,27,17,edad_15_64,incidence
2017/2018,2017-03-19,2017-06-04,38065.121434266046,0.12315030113678639,0.17116772452816595,0.21958610289127084,11,22,11,edad_15_64,incidence
2018/2019,2018-03-11,2018-07-15,30337.221903486967,0.06329084002526829,0.13691482770327118,0.21122825964393566,10,28,18,edad_15_64,incidence
2019/2020,2019-03-17,2019-06-09,36005.654184335996,0.11225377522699602,0.16751611658492704,0.2233240895634016,11,23,12,edad_15_64,incidence
2020/2021,2020-03-15,2020-03-15,36361.50669557732,0.15735663106214157,0.30031660445698233,0.44839342194020126,11,11,0,edad_15_64,incidence
2022/2023,2022-05-15,2022-10-30,29028.923509391254,0.10763379695841052,0.11837811182519979,0.1291376654340167,19,43,24,edad_15_64,incidence
2023/2024,2023-03-12,2023-05-21,32357.526657200924,0.10121751243503513,0.1594165810601637,0.21820436548983232,10,20,10,edad_15_64,incidence
2024/2025,2024-03-03,2024-05-12,43228.43250605806,0.021475615284866016,0.02424087723612634,0.027006290499011987,9,19,10,edad_15_64,incidence
2025/2026,2025-03-16,2025-05-18,30187.396496121328,0.10160069940354016,0.17784069532228733,0.2551772038223065,11,20,9,edad_15_64,incidence
