anio_epi,semana_inicio,incremento_max,consultas_inicio,semana_peak,consultas_peak
2010,14,57529,122317,34,200826
2011,10,31230,100830,21,129099
2012,11,26258,78788,25,157105
2013,6,54858,108934,21,146926
2014,25,50266,153963,26,169877
2015,32,37198,146992,33,171096
2016,11,32559,101162,26,162542
2017,11,40692,97894,23,181754
2018,11,49148,112791,33,144924
2019,11,33166,83537,21,165495
2020,11,28938,80857,12,103314
2021,38,7357,35982,46,47697
2022,32,26766,111119,44,161522
2023,11,53827,130495,20,189297
2024,11,36472,97459,20,203353
2025,12,42181,120203,21,139705
2026,11,34586,115450,23,150029
