anio_epi,total_urgencias,total_respiratorias,pct_respiratorias
2010,14679257,5012819,0.3414899677824293
2011,15375978,4693520,0.30525017660665227
2012,16613167,5202325,0.3131446881861839
2013,17128508,5338103,0.3116502032751481
2014,17028551,4997378,0.2934705366299223
2015,17688609,5395448,0.30502387157746547
2016,17501248,5261140,0.300615133275067
2017,17418175,5126303,0.29430769871125995
2018,17621812,4930691,0.2798061289043374
2019,17847774,5001583,0.28023567532847515
2020,11591489,1250986,0.10792280439553538
2021,13816427,1382400,0.10005481156597143
2022,19451726,4806506,0.2470992034331555
2023,19151116,5549078,0.2897522003417451
2024,19337137,5522419,0.2855861754508953
2025,19624393,5221470,0.2660703951454702
2026,9026694,2180742,0.2415881163136803
