anio_epi,baseline,semana_inicio,semana_peak,pct_peak
2015,0.35314796379138047,32,33,0.42822603655148594
2016,0.3410148098245981,23,28,0.44310280329436075
2017,0.3306262907335791,20,24,0.4582566557868039
2018,0.32247449963262675,21,27,0.3924526274718253
2019,0.31507759150453385,19,24,0.42397303614551185
2020,0.30887765606517853,NA,12,0.3804252968793151
2021,0.3039225722572595,NA,46,0.14612156117884934
2022,0.31302726897254857,22,44,0.3600106093937712
2023,0.3066969908382887,16,21,0.4272505542713722
2024,0.3015532129063389,16,20,0.455586821222617
2025,0.2969845795443848,17,21,0.34740043367549933
2026,0.2928780456907179,20,24,0.3768441340894872
