reference_time,cases,season,population,incidence,growth_rate,lower_growth_rate,upper_growth_rate,growth_warning,average_observations_window,average_observations_warning,seasonal_onset_alarm,skipped_window,converged,counter,changeFlag,groupID,significant_counter,disease_threshold,week,grupo,mode
2010-08-15,181876,2010/2011,NA,NA,0.18990544092535894,0.04125525660806643,0.34219572963111644,TRUE,114585,NA,NA,FALSE,TRUE,1,FALSE,28,2,114585,2010-W32,total,cases
2011-03-13,90692,2011/2012,NA,NA,0.18710108783233367,0.08491635405568716,0.29097214399009663,TRUE,72117.2,NA,NA,FALSE,TRUE,3,FALSE,56,2,72117.2,2011-W10,total,cases
2011-05-15,119032,2011/2012,NA,NA,0.069319470450998,0.011229008741118929,0.12761374079852755,TRUE,97082,NA,NA,FALSE,TRUE,5,FALSE,63,2,97082,2011-W19,total,cases
2012-05-20,126426,2012/2013,NA,NA,0.06847716001172219,0.030106983163011795,0.10693508313776909,TRUE,106069.2,NA,NA,FALSE,TRUE,12,FALSE,109,6,106069.2,2012-W20,total,cases
2013-03-10,107136,2013/2014,NA,NA,0.14596038482382587,0.0028542837776746157,0.2916707009609223,TRUE,81654,NA,NA,FALSE,TRUE,20,FALSE,143,2,81654,2013-W10,total,cases
2013-08-18,136266,2013/2014,NA,NA,0.09025534802975803,0.005145149996454469,0.1759352973089945,TRUE,114310.6,NA,NA,FALSE,TRUE,24,FALSE,162,2,114310.6,2013-W33,total,cases
2014-03-16,109017,2014/2015,NA,NA,0.19537526337132619,0.11042278189443401,0.2815402083177859,TRUE,79423.4,NA,NA,FALSE,TRUE,26,FALSE,190,2,79423.4,2014-W11,total,cases
2015-02-15,56201,2015/2016,NA,NA,0.03180337567537264,0.004934293656044451,0.058692470372904995,TRUE,50932,NA,NA,FALSE,TRUE,30,FALSE,234,6,50932,2015-W07,total,cases
2016-05-08,107070,2016/2017,NA,NA,0.0416983924266612,0.012785609583184272,0.07064154609432141,TRUE,97986.4,NA,NA,FALSE,TRUE,47,FALSE,281,9,97986.4,2016-W18,total,cases
2017-05-14,129262,2017/2018,NA,NA,0.0620668895883208,0.030397279517581047,0.09379068178003282,TRUE,110045.4,NA,NA,FALSE,TRUE,61,FALSE,320,5,110045.4,2017-W19,total,cases
2018-02-25,51466,2018/2019,NA,NA,0.03995441884516365,0.02418841631699651,0.055729068924839836,TRUE,47326.6,NA,NA,FALSE,TRUE,67,FALSE,355,5,47326.6,2018-W08,total,cases
2019-02-24,43467,2019/2020,NA,NA,0.02212283242304213,0.009826176539808077,0.03442240293163915,TRUE,41079.4,NA,NA,FALSE,TRUE,78,FALSE,396,5,41079.4,2019-W08,total,cases
