reference_time,cases,season,population,incidence,growth_rate,lower_growth_rate,upper_growth_rate,growth_warning,average_observations_window,average_observations_warning,seasonal_onset_alarm,skipped_window,converged,counter,changeFlag,groupID,significant_counter,disease_threshold,week,grupo,mode
2010-08-22,200826,2010/2011,390586,51416.589432288914,0.13077195849380796,0.060528359940975725,0.20211033360510092,TRUE,40824.20541125042,NA,NA,FALSE,TRUE,1,FALSE,29,1,40824.20541125042,2010-W33,total,incidence
2011-03-13,90692,2011/2012,302744,29956.663055254605,0.13493305861352703,0.056025136954000125,0.21489472343587263,TRUE,25403.24888805205,NA,NA,FALSE,TRUE,2,FALSE,57,2,25403.24888805205,2011-W10,total,incidence
2012-05-13,111299,2012/2013,331114,33613.498674172646,0.024744269505262862,0.0029033242135635094,0.046595699670297225,TRUE,31020.176949183784,NA,NA,FALSE,TRUE,11,FALSE,109,8,31020.176949183784,2012-W19,total,incidence
2013-03-17,122992,2013/2014,370876,33162.566464262985,0.13045014792995166,0.037899724380658,0.2244558717671234,TRUE,27516.33240299114,NA,NA,FALSE,TRUE,19,FALSE,145,1,27516.33240299114,2013-W11,total,incidence
2013-05-19,146926,2013/2014,369449,39768.95322493768,0.07931460373039402,0.03197870988229209,0.12685024811116694,TRUE,33618.16834543644,NA,NA,FALSE,TRUE,20,FALSE,153,1,33618.16834543644,2013-W20,total,incidence
2013-06-23,139173,2013/2014,334692,41582.41009644688,0.06302691712385021,0.008181265055108349,0.11808931084848252,TRUE,36854.802123569534,NA,NA,FALSE,TRUE,21,FALSE,157,1,36854.802123569534,2013-W25,total,incidence
2013-08-25,129052,2013/2014,349201,36956.36610433533,0.06226595398455105,0.007429357877530549,0.11730892431118216,TRUE,34680.303806942495,NA,NA,FALSE,TRUE,22,FALSE,165,1,34680.303806942495,2013-W34,total,incidence
2014-03-16,109017,2014/2015,362833,30046.05424534152,0.13231906778668548,0.04865119005021019,0.217192919554872,TRUE,24795.589060386654,NA,NA,FALSE,TRUE,23,FALSE,193,1,24795.589060386654,2014-W11,total,incidence
2014-06-22,169877,2014/2015,374809,45323.618162850944,0.0911322611818024,0.015623246997913749,0.16736080265882214,TRUE,36577.00581078378,NA,NA,FALSE,TRUE,24,FALSE,206,1,36577.00581078378,2014-W25,total,incidence
2014-08-24,111981,2014/2015,332226,33706.272236369216,0.0453681424512703,0.006644106118509376,0.08417862564888506,TRUE,31489.7749487467,NA,NA,FALSE,TRUE,25,FALSE,214,1,31489.7749487467,2014-W34,total,incidence
2015-02-15,56201,2015/2016,294022,19114.55605362864,0.027366705420432423,0.0014085188839003339,0.053343328536324106,TRUE,17505.910299882773,NA,NA,FALSE,TRUE,26,FALSE,238,7,17505.910299882773,2015-W07,total,incidence
2016-04-24,99843,2016/2017,334628,29837.013041347403,0.02042328134760859,0.006173763313954316,0.03467233868584414,TRUE,28077.003324160993,NA,NA,FALSE,TRUE,47,FALSE,279,12,28077.003324160993,2016-W16,total,incidence
2017-05-07,110735,2017/2018,339141,32651.610981863,0.02636907661504547,0.0028195934497503654,0.049927680296368654,TRUE,30480.556056264595,NA,NA,FALSE,TRUE,62,FALSE,318,6,30480.556056264595,2017-W18,total,incidence
2018-04-29,96485,2018/2019,339850,28390.466382227452,0.024768772375859307,0.009465732091221405,0.0400749576889187,TRUE,26537.764501754467,NA,NA,FALSE,TRUE,74,FALSE,357,11,26537.764501754467,2018-W17,total,incidence
2019-04-28,116967,2019/2020,378516,30901.467837555087,0.049802968697902836,0.04060351439255132,0.05900676754424725,TRUE,27844.64804316016,NA,NA,FALSE,TRUE,90,FALSE,393,7,27844.64804316016,2019-W17,total,incidence
